Wavelength (nm)	L329 ZnC-Es3,13 (SE335).abs
659.60	0.23959
659.80	0.23212
660.00	0.22282
660.20	0.21369
660.40	0.20719
660.60	0.19835
660.80	0.18945
661.00	0.18264
661.20	0.17350
661.40	0.16734
661.60	0.15882
661.80	0.15774
662.00	0.14810
662.20	0.14144
662.40	0.13940
662.60	0.13065
662.80	0.12286
663.00	0.11840
663.20	0.11512
663.40	0.10855
663.60	0.10340
663.80	0.10078
664.00	0.093183
664.20	0.087623
664.40	0.088370
664.60	0.079883
664.80	0.074141
665.00	0.072486
665.20	0.071174
665.40	0.066239
665.60	0.063999
665.80	0.063192
666.00	0.057531
666.20	0.055230
666.40	0.052243
666.60	0.050769
666.80	0.044573
667.00	0.044704
667.20	0.043050
667.40	0.036864
667.60	0.034593
667.80	0.033897
668.00	0.034421
668.20	0.030001
668.40	0.027529
668.60	0.027418
668.80	0.026520
669.00	0.024603
669.20	0.025117
669.40	0.022342
669.60	0.020495
669.80	0.022514
670.00	0.022292
670.20	0.020950
670.40	0.021454
670.60	0.023503
670.80	0.019547
671.00	0.021272
671.20	0.020919
671.40	0.017226
671.60	0.014915
671.80	0.018750
672.00	0.018023
672.20	0.014360
672.40	0.016398
672.60	0.015884
672.80	0.013815
673.00	0.014632
673.20	0.013835
673.40	0.010727
673.60	0.012584
673.80	0.015349
674.00	0.013472
674.20	0.011908
674.40	0.012251
674.60	0.011888
674.80	0.010132
675.00	0.011777
675.20	0.012675
675.40	0.010091
675.60	0.010596
675.80	0.0097381
676.00	0.011423
676.20	0.0085675
676.40	0.010535
676.60	0.010848
676.80	0.0071749
677.00	0.0082850
677.20	0.0091932
677.40	0.0095363
677.60	0.0075382
677.80	0.010909
678.00	0.0090822
678.20	0.0065392
678.40	0.0086079
678.60	0.0093143
678.80	0.0058328
679.00	0.0064483
679.20	0.0085372
679.40	0.0076997
679.60	0.0055502
679.80	0.0086180
680.00	0.0069125
680.20	0.0059438
680.40	0.0065291
680.60	0.0084061
680.80	0.0057016
681.00	0.0082446
681.20	0.0083960
681.40	0.0067309
681.60	0.0065392
681.80	0.0090115
682.00	0.0093546
682.20	0.0061557
682.40	0.0044402
682.60	0.0070538
682.80	0.0066502
683.00	0.0054089
683.20	0.0074474
683.40	0.0064685
683.60	0.0041677
683.80	0.0081235
684.00	0.0080932
684.20	0.0072052
684.40	0.0035925
684.60	0.0078914
684.80	0.0060144
685.00	0.0044906
685.20	0.0073667
685.40	0.0060851
685.60	0.0042989
685.80	0.0065190
686.00	0.0074474
686.20	0.0045915
686.40	0.0053383
686.60	0.0061557
686.80	0.0055805
687.00	0.0051365
687.20	0.0058429
687.40	0.0056007
687.60	0.0039255
687.80	0.0068116
688.00	0.0068722
688.20	0.0035824
688.40	0.0033099
688.60	0.0036127
688.80	0.0024825
689.00	0.00027247
689.20	0.0041980
689.40	0.0012614
689.60	0.00041374
689.80	0.0016146
690.00	0.0022403
690.20	0.00071648
690.40	0.0015541
690.60	0.0014229
690.80	0.0014935
691.00	0.0028659
691.20	0.0057520
691.40	0.0045209
691.60	0.0049145
691.80	0.0034008
692.00	0.0065190
692.20	0.0044704
692.40	0.0041677
692.60	0.0088400
692.80	0.0068217
693.00	0.0065795
693.20	0.0073969
693.40	0.0067713
693.60	0.0055199
693.80	0.0074676
694.00	0.0068419
694.20	0.0077703
694.40	0.0041374
694.60	0.0038549
694.80	0.0041879
695.00	0.0029063
695.20	0.0057823
695.40	0.0052677
695.60	0.0016550
695.80	0.0049548
696.00	0.0058328
696.20	0.0043695
696.40	0.0040668
696.60	0.0068217
696.80	0.0040769
697.00	0.0034210
697.20	0.0054190
697.40	0.0053787
697.60	0.0054089
697.80	0.0047227
698.00	0.0052576
698.20	0.0032696
698.40	0.0031182
698.60	0.0061355
698.80	0.0011605
699.00	0.0022605
699.20	0.0031586
699.40	0.0032595
699.60	0.0028558
699.80	0.0023513
700.00	0.0054493
700.20	0.0037237
700.40	0.0017559
700.60	0.0035622
700.80	0.0050356
701.00	0.0045411
701.20	0.0044402
701.40	0.0042787
701.60	0.0033200
701.80	0.0027549
702.00	0.0053383
702.20	0.0024825
702.40	0.0041576
702.60	0.0044604
702.80	0.0048337
703.00	0.0016953
703.20	0.0028155
703.40	0.0068318
703.60	0.0031081
703.80	0.0060346
704.00	0.0040567
704.20	0.0048842
704.40	0.0031182
704.60	0.0030173
704.80	0.0043897
705.00	0.0026136
705.20	0.0047732
705.40	0.0037338
705.60	0.0011403
705.80	0.0037439
706.00	0.0050557
706.20	0.00094858
706.40	0.0037741
706.60	0.0043695
706.80	0.0034411
707.00	0.0038852
707.20	0.0043796
707.40	0.0043796
707.60	0.0028962
707.80	0.0034109
708.00	0.0031586
708.20	0.0017660
708.40	0.0026742
708.60	0.0021898
708.80	0.0064383
709.00	0.00070639
709.20	0.0019073
709.40	0.0039356
709.60	0.0046925
709.80	0.0041677
710.00	0.0049044
710.20	0.0014330
710.40	0.0026742
710.60	0.0041374
710.80	0.0054998
711.00	0.0023715
711.20	0.0027953
711.40	0.0051970
711.60	0.0020687
711.80	0.0026136
712.00	0.0032696
712.20	0.0058429
712.40	0.0034210
712.60	0.0036631
712.80	0.0041273
713.00	0.0026136
713.20	0.0053282
713.40	0.0045915
713.60	0.0043998
713.80	0.0032797
714.00	0.0076189
714.20	0.0043998
714.40	0.0064988
714.60	0.0060851
714.80	0.0051869
715.00	0.0055401
715.20	0.0022201
715.40	0.0051466
715.60	0.0062062
715.80	0.0029769
716.00	0.0038044
716.20	0.0047227
716.40	0.0017054
716.60	0.0049649
716.80	0.0040163
717.00	0.0021595
717.20	0.0040971
717.40	0.0045512
717.60	0.0031586
717.80	0.0023210
718.00	0.0050457
718.20	0.0072859
718.40	0.0052677
718.60	0.0072556
718.80	0.0094455
719.00	0.0069630
719.20	0.0062162
719.40	0.0072859
719.60	0.0069428
719.80	0.0050658
720.00	0.0039558
720.20	0.0021999
720.40	0.0032696
720.60	0.0047429
720.80	0.0026540
721.00	0.0019577
721.20	0.0032494
721.40	0.0053484
721.60	0.0045512
721.80	0.0042081
722.00	0.0051667
722.20	0.0059942
722.40	0.0044301
722.60	0.0050255
722.80	0.0061557
723.00	0.0031384
723.20	0.0054493
723.40	0.0080226
723.60	0.0032494
723.80	0.0041778
724.00	0.0058530
724.20	0.0048741
724.40	0.0025228
724.60	0.0042182
724.80	0.0068621
725.00	0.0031586
725.20	0.0051768
725.40	0.0055502
725.60	0.0046420
725.80	0.0048236
726.00	0.0047429
726.20	0.0038246
726.40	0.0035521
726.60	0.0063373
726.80	0.0048337
727.00	0.0041173
727.20	0.0053484
727.40	0.0033301
727.60	0.0048438
727.80	0.0047631
728.00	0.0049750
728.20	0.0035723
728.40	0.0045714
728.60	0.0046622
728.80	0.0061355
729.00	0.0036934
729.20	0.0041475
729.40	0.0066300
729.60	0.0044604
729.80	0.0052273
730.00	0.0047934
730.20	0.0059236
730.40	0.0033806
730.60	0.0036732
730.80	0.0052475
731.00	0.0036631
731.20	0.0031384
731.40	0.0057016
731.60	0.0051768
731.80	0.0035320
732.00	0.0065291
732.20	0.0057621
732.40	0.0044200
732.60	0.0047631
732.80	0.0051163
733.00	0.0031989
733.20	0.0042585
733.40	0.0047429
733.60	0.0032090
733.80	0.0032999
734.00	0.0060951
734.20	0.0046925
734.40	0.0030577
734.60	0.0060346
734.80	0.0056612
735.00	0.0051869
735.20	0.0042888
735.40	0.0057420
735.60	0.0063777
735.80	0.0034109
736.00	0.0053988
736.20	0.0056108
736.40	0.0026237
736.60	0.0065089
736.80	0.0064181
737.00	0.0035824
737.20	0.0046925
737.40	0.0061254
737.60	0.0051365
737.80	0.0056814
738.00	0.0058126
738.20	0.0055401
738.40	0.0058933
738.60	0.0049346
738.80	0.0062364
739.00	0.0038347
739.20	0.0045915
739.40	0.0056713
739.60	0.0048842
739.80	0.0029366
740.00	0.0055401
740.20	0.0076694
740.40	0.0045007
740.60	0.0051970
740.80	0.0056713
741.00	0.0022100
741.20	0.0022907
741.40	0.0037540
741.60	0.0049750
741.80	0.0031586
742.00	0.0031384
742.20	0.0074373
742.40	0.0049952
742.60	0.0068924
742.80	0.0075887
743.00	0.0052172
743.20	0.0052172
743.40	0.0050961
743.60	0.0058530
743.80	0.0046723
744.00	0.0050053
744.20	0.0056713
744.40	0.0047227
744.60	0.0042585
744.80	0.0056309
745.00	0.0061557
745.20	0.0051567
745.40	0.0061658
745.60	0.0055199
745.80	0.0055603
746.00	0.0052273
746.20	0.0060750
746.40	0.0051466
746.60	0.0052475
746.80	0.0037842
747.00	0.0059034
747.20	0.0030072
747.40	0.0049346
747.60	0.0050557
747.80	0.0052172
748.00	0.0038347
748.20	0.0050154
748.40	0.0035723
748.60	0.0033200
748.80	0.0065493
749.00	0.0026439
749.20	0.0030678
749.40	0.0029769
749.60	0.0035521
749.80	0.0033503
750.00	0.0060043
