Wavelength (nm)	L214 FbC-P3M10P13 (SE245).abs
657.00	0.27483
657.20	0.26728
657.40	0.26037
657.60	0.25357
657.80	0.24654
658.00	0.23913
658.20	0.23233
658.40	0.22580
658.60	0.21852
658.80	0.21166
659.00	0.20496
659.20	0.19827
659.40	0.19141
659.60	0.18492
659.80	0.17874
660.00	0.17209
660.20	0.16618
660.40	0.16023
660.60	0.15390
660.80	0.14809
661.00	0.14267
661.20	0.13712
661.40	0.13132
661.60	0.12644
661.80	0.12158
662.00	0.11614
662.20	0.11098
662.40	0.10670
662.60	0.10205
662.80	0.097731
663.00	0.093923
663.20	0.089595
663.40	0.085427
663.60	0.082209
663.80	0.078361
664.00	0.074693
664.20	0.071364
664.40	0.068426
664.60	0.065287
664.80	0.061719
665.00	0.059880
665.20	0.056732
665.40	0.053893
665.60	0.051494
665.80	0.049515
666.00	0.047026
666.20	0.044558
666.40	0.042939
666.60	0.040580
666.80	0.038561
667.00	0.036992
667.20	0.035452
667.40	0.033333
667.60	0.032324
667.80	0.030605
668.00	0.028966
668.20	0.027906
668.40	0.026857
668.60	0.025187
668.80	0.024128
669.00	0.023008
669.20	0.022059
669.40	0.020930
669.60	0.019790
669.80	0.019250
670.00	0.017981
670.20	0.017251
670.40	0.016822
670.60	0.015982
670.80	0.015072
671.00	0.014353
671.20	0.014153
671.40	0.013503
671.60	0.012884
671.80	0.012704
672.00	0.011884
672.20	0.011464
672.40	0.011254
672.60	0.010835
672.80	0.0099550
673.00	0.0098651
673.20	0.0096052
673.40	0.0086957
673.60	0.0086857
673.80	0.0086557
674.00	0.0081559
674.20	0.0075562
674.40	0.0077761
674.60	0.0070265
674.80	0.0068066
675.00	0.0068166
675.20	0.0066067
675.40	0.0058871
675.60	0.0059770
675.80	0.0058171
676.00	0.0055372
676.20	0.0053573
676.40	0.0052974
676.60	0.0049675
676.80	0.0046077
677.00	0.0047376
677.20	0.0049275
677.40	0.0042779
677.60	0.0043778
677.80	0.0042579
678.00	0.0038581
678.20	0.0035482
678.40	0.0040480
678.60	0.0037881
678.80	0.0033683
679.00	0.0036182
679.20	0.0036782
679.40	0.0032484
679.60	0.0032984
679.80	0.0035682
680.00	0.0031084
680.20	0.0030685
680.40	0.0030685
680.60	0.0030685
680.80	0.0025887
681.00	0.0028286
681.20	0.0027886
681.40	0.0023488
681.60	0.0025187
681.80	0.0029785
682.00	0.0023688
682.20	0.0023188
682.40	0.0024088
682.60	0.0022389
682.80	0.0019890
683.00	0.0024888
683.20	0.0024288
683.40	0.0020890
683.60	0.0020490
683.80	0.0022189
684.00	0.0019390
684.20	0.0019490
684.40	0.0022889
684.60	0.0018491
684.80	0.0016592
685.00	0.0020690
685.20	0.0020990
685.40	0.0018691
685.60	0.0016692
685.80	0.0018291
686.00	0.0018391
686.20	0.0017491
686.40	0.0020090
686.60	0.0017491
686.80	0.0013617
687.00	0.0016092
687.20	0.0014593
687.40	0.0012843
687.60	0.0010445
687.80	0.0012787
688.00	0.0011728
688.20	0.0010806
688.40	0.0013033
688.60	0.0013636
688.80	0.0011077
689.00	0.0012892
689.20	0.0012086
689.40	0.00073335
689.60	0.0010351
689.80	0.0014434
690.00	0.0011222
690.20	0.00088538
690.40	0.0010062
690.60	0.0012109
690.80	0.00090416
691.00	0.0012348
691.20	0.0014455
691.40	0.0012459
691.60	0.0012254
691.80	0.0016692
692.00	0.0013389
692.20	0.00084856
692.40	0.0012815
692.60	0.0014156
692.80	0.0011823
693.00	0.0011326
693.20	0.0012888
693.40	0.0014325
693.60	0.0014805
693.80	0.0017991
694.00	0.0015092
694.20	0.0011417
694.40	0.0015792
694.60	0.0019590
694.80	0.0013239
695.00	0.0017091
695.20	0.0016592
695.40	0.0015092
695.60	0.0012355
695.80	0.0017991
696.00	0.0012733
696.20	0.0012458
696.40	0.0013033
696.60	0.0013958
696.80	0.00071924
697.00	0.00085083
697.20	0.0010628
697.40	0.00096274
697.60	0.00098699
697.80	0.0010175
698.00	0.00099752
698.20	0.00080943
698.40	0.0012132
698.60	0.0011462
698.80	0.0010028
699.00	0.00072991
699.20	0.0011830
699.40	0.0010606
699.60	0.00076997
699.80	0.0010771
700.00	0.00090098
700.20	0.00072649
700.40	0.00080636
700.60	0.0011238
700.80	0.00083811
701.00	0.00090539
701.20	0.0012775
701.40	0.00085220
701.60	0.0010718
701.80	0.0010912
702.00	0.0010744
702.20	0.00058455
702.40	0.00084562
702.60	0.00090496
702.80	0.00059112
703.00	0.00085686
703.20	0.00094555
703.40	0.00080234
703.60	0.00070462
703.80	0.00097042
704.00	0.0010962
704.20	0.00084275
704.40	0.00093166
704.60	0.00096925
704.80	0.00065014
705.00	0.00081501
705.20	0.00096544
705.40	0.0010482
705.60	0.00038136
705.80	0.0010069
706.00	0.0010983
706.20	0.00062904
706.40	0.00073491
706.60	0.00098773
706.80	0.00059911
707.00	0.00049384
707.20	0.00096766
707.40	0.00068507
707.60	0.00055469
707.80	0.00087474
708.00	0.00093695
708.20	0.00061157
708.40	0.00062972
708.60	0.0010852
708.80	0.00062050
709.00	0.00043157
709.20	0.0010902
709.40	0.0010013
709.60	0.00043941
709.80	0.0010203
710.00	0.00087835
710.20	0.00087824
710.40	0.00068109
710.60	0.00096308
710.80	0.00067281
711.00	0.00055623
711.20	0.0011583
711.40	0.00059215
711.60	0.00044220
711.80	0.00098235
712.00	0.00095377
712.20	0.00058743
712.40	0.00063393
712.60	0.00073204
712.80	0.00074072
713.00	0.00067267
713.20	0.0011077
713.40	0.00093106
713.60	0.00031723
713.80	0.00094176
714.00	0.00073144
714.20	0.00057810
714.40	0.00048912
714.60	0.0011747
714.80	0.00082966
715.00	0.00078809
715.20	0.00054624
715.40	0.00096140
715.60	0.00060375
715.80	0.00090271
716.00	0.00084056
716.20	0.00060987
716.40	0.00082098
716.60	0.00096823
716.80	0.00066863
717.00	0.00053186
717.20	0.0010170
717.40	0.00071497
717.60	0.00035788
717.80	0.00091614
718.00	0.00089281
718.20	0.00065128
718.40	0.00060859
718.60	0.00082468
718.80	0.00055705
719.00	0.00089841
719.20	0.00087243
719.40	0.00086384
719.60	0.00064391
719.80	0.00089204
720.00	0.00056686
720.20	0.00078046
720.40	0.00084634
720.60	0.00077509
720.80	0.00062998
721.00	0.00069093
721.20	0.0010892
721.40	0.00066692
721.60	0.00024890
721.80	0.00080052
722.00	0.00068331
722.20	0.00044197
722.40	0.00067187
722.60	0.00077304
722.80	0.00069952
723.00	0.00075733
723.20	0.00095750
723.40	0.00064980
723.60	0.00039051
723.80	0.00088262
724.00	0.00059223
724.20	0.00064801
724.40	0.00078152
724.60	0.00099857
724.80	0.00059994
725.00	0.00066562
725.20	0.00063879
725.40	0.00035037
725.60	0.00031166
725.80	0.00067864
726.00	0.00056260
726.20	0.00047916
726.40	0.00084565
726.60	0.00084912
726.80	0.00061831
727.00	0.00061962
727.20	0.00083956
727.40	0.00042503
727.60	0.00060893
727.80	0.00066826
728.00	0.00069511
728.20	0.00034713
728.40	0.00073409
728.60	0.00057056
728.80	0.00068246
729.00	0.00049531
729.20	0.0011245
729.40	0.00047137
729.60	0.00047569
729.80	0.00094182
730.00	0.00074538
730.20	0.00027431
730.40	0.00074223
730.60	0.00077216
730.80	0.00071699
731.00	0.00069716
731.20	0.00087383
731.40	0.00058393
731.60	8.6077e-05
731.80	0.00092357
732.00	0.00071400
732.20	0.00063541
732.40	0.00068146
732.60	0.00058748
732.80	0.00051360
733.00	0.00065097
733.20	0.00072205
733.40	0.00042975
733.60	0.00044550
733.80	0.00067540
734.00	0.00060830
734.20	0.00052065
734.40	0.00040143
734.60	0.0010053
734.80	0.00065313
735.00	0.00048968
735.20	0.00098901
735.40	0.00051172
735.60	0.00052438
735.80	0.00081674
736.00	0.00087024
736.20	0.00029267
736.40	0.00053018
736.60	0.00069605
736.80	0.00046279
737.00	0.00044174
737.20	0.00063768
737.40	0.00048553
737.60	0.00036044
737.80	0.00056086
738.00	0.00073050
738.20	0.00027755
738.40	0.00069415
738.60	0.00077304
738.80	0.00016012
739.00	0.00045187
739.20	0.00076297
739.40	0.00072129
739.60	0.00039654
739.80	0.00079176
740.00	0.00070669
740.20	2.0339e-05
740.40	0.00055119
740.60	0.00081006
740.80	0.00048576
741.00	0.00048024
741.20	0.00078419
741.40	0.00070308
741.60	0.00064607
741.80	0.00081316
742.00	0.00094358
742.20	0.00025521
742.40	0.00045915
742.60	0.00061732
742.80	0.00066886
743.00	0.00056473
743.20	0.00072385
743.40	0.00074507
743.60	0.00038409
743.80	0.00061723
744.00	0.0011829
744.20	0.00065128
744.40	0.00042173
744.60	0.00070163
744.80	0.00025072
745.00	0.00025242
745.20	0.00083384
745.40	0.00066064
745.60	0.00040137
745.80	0.00061152
746.00	0.0010353
746.20	0.00049657
746.40	0.00075423
746.60	0.00068743
746.80	0.00061948
747.00	0.00050015
747.20	0.00082667
747.40	0.00064883
747.60	0.00037004
747.80	0.00088310
748.00	0.00044823
748.20	0.00044072
748.40	0.00039449
748.60	0.00089987
748.80	0.00055045
749.00	0.00042707
749.20	0.00068448
749.40	0.00082539
749.60	0.00055463
749.80	0.00070391
750.00	0.00082155
