Wavelength (nm)	142 FbO1 (SE082) abs
652.80	0.010470
653.00	0.010569
653.20	0.0094166
653.40	0.0091532
653.60	0.0088568
653.80	0.0083300
654.00	0.0078691
654.20	0.0076386
654.40	0.0068155
654.60	0.0064731
654.80	0.0063644
655.00	0.0061965
655.20	0.0059956
655.40	0.0054590
655.60	0.0053141
655.80	0.0053207
656.00	0.0047379
656.20	0.0047445
656.40	0.0044679
656.60	0.0042638
656.80	0.0039477
657.00	0.0035720
657.20	0.0034492
657.40	0.0035638
657.60	0.0031700
657.80	0.0031773
658.00	0.0032500
658.20	0.0028809
658.40	0.0028579
658.60	0.0026274
658.80	0.0026340
659.00	0.0021665
659.20	0.0019821
659.40	0.0024332
659.60	0.0018734
659.80	0.0021204
660.00	0.0017944
660.20	0.0021204
660.40	0.0017450
660.60	0.0019393
660.80	0.0018537
661.00	0.0015870
661.20	0.0010931
661.40	0.0012083
661.60	0.00099434
661.80	0.0012512
662.00	0.0010569
662.20	0.0013104
662.40	0.00091861
662.60	0.0010009
662.80	0.0018405
663.00	0.00034242
663.20	0.00064204
663.40	0.0010338
663.60	0.00067826
663.80	0.00083300
664.00	0.00018109
664.20	0.00097458
664.40	0.00047741
664.60	0.00059265
664.80	0.00031279
665.00	4.6095e-05
665.20	0.00095812
665.40	0.00084288
665.60	0.00041156
665.80	0.00039839
666.00	0.00062228
666.20	0.00016463
666.40	0.00031937
666.60	0.00027986
666.80	0.00042473
667.00	9.8775e-05
667.20	0.00050375
667.40	0.00028974
667.60	4.9387e-05
667.80	9.5483e-05
668.00	0.00053009
668.20	9.8774e-06
668.40	0.00018767
668.60	-3.2925e-05
668.80	0.00043790
669.00	0.00027657
669.20	-9.8775e-05
669.40	0.00012841
669.60	0.00026340
669.80	-0.00016463
670.00	0.00076386
670.20	5.5972e-05
670.40	0.00011195
670.60	-3.2925e-05
670.80	9.8775e-05
671.00	0.00046754
671.20	0.00046095
671.40	5.5972e-05
671.60	-3.2925e-05
671.80	7.9020e-05
672.00	0.00017450
672.20	0.00047083
672.40	-6.5850e-05
672.60	9.8775e-05
672.80	0.00033913
673.00	0.00013829
673.20	0.00023048
673.40	0.00015146
673.60	-9.8775e-05
673.80	0.00015475
674.00	0.00047083
674.20	-6.5850e-05
674.40	-0.00023048
674.60	0.00012182
674.80	0.00013829
675.00	-0.00023048
675.20	-6.5850e-05
675.40	0.00028316
675.60	0.00013829
675.80	3.9510e-05
676.00	-9.8775e-05
676.20	-0.00016463
676.40	0.00015475
676.60	-3.2925e-05
676.80	-0.00016463
677.00	8.5605e-05
677.20	0.00011195
677.40	-1.5639e-10
677.60	0.00026999
677.80	7.9020e-05
678.00	0.00053339
678.20	-0.00023048
678.40	0.00012512
678.60	-0.00042803
678.80	-9.8775e-05
679.00	-0.00013170
679.20	-0.00029633
679.40	-3.2925e-05
679.60	0.00038193
679.80	-0.00013170
680.00	-9.8775e-05
680.20	3.2925e-05
680.40	0.00041156
680.60	1.3170e-05
680.80	5.2680e-05
681.00	-9.8775e-05
681.20	0.00026011
681.40	0.00017121
681.60	0.00018109
681.80	0.00013170
682.00	0.00010865
682.20	0.00011853
682.40	2.9633e-05
682.60	-9.8775e-05
682.80	6.5850e-05
683.00	-3.2925e-05
683.20	0.00014487
683.40	-0.00016463
683.60	-0.00026340
683.80	0.00012182
684.00	0.00046095
684.20	0.00035559
684.40	0.00010536
684.60	-3.2925e-05
684.80	3.2924e-06
685.00	0.00020414
685.20	0.00089556
685.40	-0.00055973
685.60	-0.00013170
685.80	-1.5639e-10
686.00	0.00019097
686.20	0.00011195
686.40	0.00010207
686.60	0.00034901
686.80	-0.00036218
687.00	0.0011491
687.20	8.8898e-05
687.40	0.00012182
687.60	-6.5850e-05
687.80	0.00032925
688.00	0.00023377
688.20	0.00030620
688.40	0.00026999
688.60	-0.00032925
688.80	-3.2925e-05
689.00	0.00026340
689.20	-3.2925e-05
689.40	0.00015475
689.60	0.00058607
689.80	-0.00036218
690.00	0.00037205
690.20	3.2924e-06
690.40	0.00017450
690.60	0.00045107
690.80	-1.5639e-10
691.00	2.6340e-05
691.20	-0.00049388
691.40	0.00011524
691.60	0.00018109
691.80	8.5605e-05
692.00	0.00043790
692.20	-0.00023048
692.40	0.00047083
692.60	5.5972e-05
692.80	0.00017450
693.00	-0.00026340
693.20	6.2558e-05
693.40	-1.5639e-10
693.60	3.2924e-06
693.80	0.00014816
694.00	0.00043132
694.20	0.00045437
694.40	-0.00019755
694.60	0.00031279
694.80	-0.00032925
695.00	0.00024365
695.20	0.00010207
695.40	5.9265e-05
695.60	0.00040169
695.80	0.00017780
696.00	0.00040169
696.20	-0.00016463
696.40	0.00028974
696.60	1.3170e-05
696.80	-6.5850e-05
697.00	0.00022718
697.20	0.00011853
697.40	0.00011195
697.60	0.00077703
697.80	7.2435e-05
698.00	0.00037535
698.20	0.00020414
698.40	-9.8775e-05
698.60	0.00029633
698.80	-0.00019755
699.00	0.0011129
699.20	0.00026011
699.40	-3.2925e-05
699.60	0.00050375
699.80	-0.00042803
700.00	-0.00026340
