Wavelength (nm)	L285 ZnOP-He3M10 (SE329).abs
659.60	0.038295
659.80	0.037839
660.00	0.035416
660.20	0.037043
660.40	0.035314
660.60	0.034973
660.80	0.033013
661.00	0.034177
661.20	0.031869
661.40	0.032339
661.60	0.031304
661.80	0.026682
662.00	0.025532
662.20	0.026580
662.40	0.023810
662.60	0.023469
662.80	0.023591
663.00	0.022094
663.20	0.020018
663.40	0.020487
663.60	0.019684
663.80	0.020847
664.00	0.017498
664.20	0.019472
664.40	0.019247
664.60	0.020063
664.80	0.021343
665.00	0.021002
665.20	0.018579
665.40	0.020321
665.60	0.021021
665.80	0.018135
666.00	0.017332
666.20	0.018958
666.40	0.015956
666.60	0.017120
666.80	0.015969
667.00	0.016207
667.20	0.017254
667.40	0.018649
667.60	0.018771
667.80	0.017736
668.00	0.016238
668.20	0.017633
668.40	0.016482
668.60	0.015679
668.80	0.011985
669.00	0.015272
669.20	0.011065
669.40	0.013647
669.60	0.013074
669.80	0.010799
670.00	0.011186
670.20	0.012759
670.40	0.011464
670.60	0.0099422
670.80	0.012056
671.00	0.012356
671.20	0.010075
671.40	0.011484
671.60	0.0096878
671.80	0.011561
672.00	0.0077045
672.20	0.011133
672.40	0.0096916
672.60	0.0086912
672.80	0.0082021
673.00	0.010977
673.20	0.0090353
673.40	0.0098766
673.60	0.0084652
673.80	0.0083833
674.00	0.0096396
674.20	0.0091917
674.40	0.0080996
674.60	0.0061464
674.80	0.0069574
675.00	0.0097681
675.20	0.0071566
675.40	0.0079651
675.60	0.0078705
675.80	0.0059275
676.00	0.0058092
676.20	0.0079561
676.40	0.0064054
676.60	0.0043383
676.80	0.0037535
677.00	0.0062405
677.20	0.0049901
677.40	0.0057677
677.60	0.0071657
677.80	0.0067940
678.00	0.0038523
678.20	0.0065260
678.40	0.0073062
678.60	0.0041722
678.80	0.0042359
679.00	0.0067908
679.20	0.0019052
679.40	0.0042553
679.60	0.0080811
679.80	0.0047661
680.00	0.0057966
680.20	0.0057450
680.40	0.0051941
680.60	0.0040388
680.80	0.0053439
681.00	0.0048539
681.20	0.0020337
681.40	0.0048559
681.60	0.0035922
681.80	0.0044804
682.00	0.0025432
682.20	0.0067790
682.40	0.0047956
682.60	0.0030031
682.80	0.0051877
683.00	0.0053366
683.20	0.0042148
683.40	0.0025492
683.60	0.0054921
683.80	0.0038912
684.00	0.0026896
684.20	0.0026967
684.40	0.0041850
684.60	0.0025139
684.80	0.0046020
685.00	0.0038910
685.20	0.0014134
685.40	0.0012695
685.60	0.0020615
685.80	0.0014054
686.00	0.0020557
686.20	0.0017163
686.40	0.0014126
686.60	0.0010177
686.80	0.0021405
687.00	0.0026320
687.20	0.0012820
687.40	0.0010211
687.60	0.0036950
687.80	0.0034068
688.00	0.0019231
688.20	0.0016733
688.40	0.0038489
688.60	0.00059901
688.80	0.0036056
689.00	0.0033703
689.20	0.00037416
689.40	0.0025696
689.60	0.0031621
689.80	0.0028676
690.00	0.0026399
690.20	0.0016994
690.40	0.0018750
690.60	0.0015158
690.80	0.0025650
691.00	0.0038122
691.20	0.00085194
691.40	0.0039238
691.60	0.00098974
691.80	0.0025035
692.00	0.0014697
692.20	0.00083691
692.40	0.0033481
692.60	0.0021981
692.80	0.00091410
693.00	0.0020040
693.20	0.0026140
693.40	0.0017184
693.60	0.00028630
693.80	0.0012571
694.00	0.0018371
694.20	0.0011745
694.40	0.0035466
694.60	0.00082784
694.80	0.0010286
695.00	0.0015446
695.20	0.0022122
695.40	0.00089724
695.60	0.0013556
695.80	0.0017015
696.00	0.00085232
696.20	0.00086963
696.40	0.0013273
696.60	0.00023022
696.80	0.00081623
697.00	0.00080971
697.20	0.0013392
697.40	0.00055558
697.60	0.0019343
697.80	0.00022417
698.00	0.00057042
698.20	0.00031735
698.40	0.0010561
698.60	0.0011107
698.80	0.00041365
699.00	0.00039624
699.20	0.00080063
699.40	0.0011189
699.60	0.00063763
699.80	0.0010639
700.00	0.0012011
