Wavelength(nm)	L214 ZnC-M10E15 (SE253).abs
651.40	0.0012100
651.60	0.0010100
651.80	0.00081583
652.00	0.0010700
652.20	0.00097363
652.40	0.00079800
652.60	0.00088854
652.80	0.0010500
653.00	0.00093250
653.20	0.00092012
653.40	0.0011400
653.60	0.0011000
653.80	0.00087033
654.00	0.0010200
654.20	0.0010800
654.40	0.00083493
654.60	0.00087390
654.80	0.00095048
655.00	0.00072068
655.20	0.00081414
655.40	0.00086555
655.60	0.00092215
655.80	0.00070779
656.00	0.0010400
656.20	0.00099880
656.40	0.00066169
656.60	0.00079483
656.80	0.0012400
657.00	0.00058548
657.20	0.00066756
657.40	0.00092753
657.60	0.00074323
657.80	0.00063119
658.00	0.00099961
658.20	0.00097757
658.40	0.00058965
658.60	0.00088081
658.80	0.0010500
659.00	0.00069245
659.20	0.00069673
659.40	0.00089762
659.60	0.00071662
659.80	0.00072639
660.00	0.00082844
660.20	0.00080645
660.40	0.00077950
660.60	0.00076707
660.80	0.00090613
661.00	0.00069139
661.20	0.00062214
661.40	0.00092582
661.60	0.00067079
661.80	0.00063382
662.00	0.00072117
662.20	0.00067553
662.40	0.00055876
662.60	0.00068335
662.80	0.00072900
663.00	0.00063969
663.20	0.00064584
663.40	0.00078608
663.60	0.00068161
663.80	0.00039806
664.00	0.00066588
664.20	0.00080520
664.40	0.00040371
664.60	0.00059358
664.80	0.00085294
665.00	0.00054251
665.20	0.00070708
665.40	0.00087626
665.60	0.00064219
665.80	0.00057143
666.00	0.00058879
666.20	0.00083779
666.40	0.00056119
666.60	0.00076985
666.80	0.00058266
667.00	0.00048346
667.20	0.00059173
667.40	0.00087656
667.60	0.00054177
667.80	0.00060467
668.00	0.00083728
668.20	0.00065494
668.40	0.00061121
668.60	0.00067115
668.80	0.00061271
669.00	0.00065658
669.20	0.00051203
669.40	0.00062592
669.60	0.00061471
669.80	0.00046630
670.00	0.00064043
670.20	0.00077813
670.40	0.00050213
670.60	0.00053192
670.80	0.00072158
671.00	0.00049864
671.20	0.00039940
671.40	0.00080747
671.60	0.00072022
671.80	0.00027384
672.00	0.00076485
672.20	0.00061893
672.40	0.00043029
672.60	0.00071142
672.80	0.00084564
673.00	0.00049653
673.20	0.00057686
673.40	0.00060518
673.60	0.00061720
673.80	0.00036536
674.00	0.00069800
674.20	0.00062203
674.40	0.00032512
674.60	0.00072725
674.80	0.00076442
675.00	0.00032903
675.20	0.00048138
675.40	0.00077959
675.60	0.00062295
675.80	0.00020193
676.00	0.00068621
676.20	0.00066181
676.40	0.00030484
676.60	0.00044232
676.80	0.00074064
677.00	0.00056521
677.20	0.00061757
677.40	0.00071266
677.60	0.00067013
677.80	0.00036155
678.00	0.00063289
678.20	0.00071985
678.40	0.00059009
678.60	0.00057742
678.80	0.00069197
679.00	0.00041678
679.20	0.00041721
679.40	0.00069763
679.60	0.00065723
679.80	0.00028667
680.00	0.00064626
680.20	0.00055661
680.40	0.00018583
680.60	0.00049514
680.80	0.00070613
681.00	0.00044821
681.20	0.00029443
681.40	0.00068545
681.60	0.00051464
681.80	0.00022256
682.00	0.00055067
682.20	0.00069441
682.40	0.00034356
682.60	0.00034854
682.80	0.00054433
683.00	0.00042307
683.20	0.00049263
683.40	0.00062533
683.60	0.00056736
683.80	0.00039227
684.00	0.00069086
684.20	0.00055370
684.40	0.00038167
684.60	0.00047273
684.80	0.00052997
685.00	0.00062859
685.20	0.00053897
685.40	0.00052646
685.60	0.00026623
685.80	0.00016344
686.00	0.00058602
686.20	0.00064972
686.40	0.00031387
686.60	0.00048354
686.80	0.00056421
687.00	0.00033525
687.20	0.00035595
687.40	0.00059348
687.60	0.00046242
687.80	0.00030472
688.00	0.00064420
688.20	0.00076077
688.40	0.00018919
688.60	0.00050363
688.80	0.00071539
689.00	0.00055157
689.20	0.00030214
689.40	0.00051649
689.60	0.00052088
689.80	0.00030375
690.00	0.00059364
690.20	0.00047350
690.40	0.00023845
690.60	0.00049512
690.80	0.00056230
691.00	0.00038216
691.20	0.00040940
691.40	0.00067029
691.60	0.00039862
691.80	0.00038364
692.00	0.00048169
692.20	0.00053836
692.40	0.00042800
692.60	0.00046184
692.80	0.00063958
693.00	0.00032352
693.20	0.00031686
693.40	0.00039834
693.60	0.00036037
693.80	0.00037488
694.00	0.00048823
694.20	0.00051873
694.40	0.00044091
694.60	0.00037628
694.80	0.00057198
695.00	0.00044312
695.20	0.00029776
695.40	0.00055966
695.60	0.00033370
695.80	0.00027880
696.00	0.00049876
696.20	0.00070118
696.40	0.00046963
696.60	0.00044116
696.80	0.00064778
697.00	0.00038799
697.20	0.00024025
697.40	0.00065689
697.60	0.00051728
697.80	0.00032325
698.00	0.00053362
698.20	0.00060021
698.40	0.00024187
698.60	0.00031584
698.80	0.00069180
699.00	0.00027030
699.20	0.00034500
699.40	0.00064582
699.60	0.00046381
699.80	0.00016928
700.00	0.00058965
