Wavelength (nm)	142 MgO1.abs
602.80	0.037463
603.00	0.037761
603.20	0.038181
603.40	0.038316
603.60	0.038736
603.80	0.038831
604.00	0.039196
604.20	0.039372
604.40	0.039643
604.60	0.040022
604.80	0.040212
605.00	0.040239
605.20	0.040577
605.40	0.041038
605.60	0.041187
605.80	0.041498
606.00	0.041809
606.20	0.042378
606.40	0.042865
606.60	0.043245
606.80	0.043651
607.00	0.044274
607.20	0.044896
607.40	0.045600
607.60	0.046426
607.80	0.047523
608.00	0.048335
608.20	0.049337
608.40	0.050542
608.60	0.051666
608.80	0.053155
609.00	0.054591
609.20	0.056175
609.40	0.057935
609.60	0.060047
609.80	0.061929
610.00	0.064136
610.20	0.066640
610.40	0.068874
610.60	0.071677
610.80	0.074439
611.00	0.077364
611.20	0.080369
611.40	0.083592
611.60	0.086977
611.80	0.090145
612.00	0.093936
612.20	0.097497
612.40	0.10106
612.60	0.10459
612.80	0.10833
613.00	0.11197
613.20	0.11552
613.40	0.11888
613.60	0.12195
613.80	0.12535
614.00	0.12845
614.20	0.13134
614.40	0.13404
614.60	0.13661
614.80	0.13878
615.00	0.14077
615.20	0.14234
615.40	0.14390
615.60	0.14482
615.80	0.14571
616.00	0.14622
616.20	0.14622
616.40	0.14608
616.60	0.14557
616.80	0.14479
617.00	0.14367
617.20	0.14215
617.40	0.14055
617.60	0.13856
617.80	0.13650
618.00	0.13407
618.20	0.13149
618.40	0.12875
618.60	0.12569
618.80	0.12263
619.00	0.11944
619.20	0.11595
619.40	0.11274
619.60	0.10922
619.80	0.10567
620.00	0.10228
620.20	0.098661
620.40	0.095181
620.60	0.091959
620.80	0.088466
621.00	0.085135
621.20	0.081547
621.40	0.078230
621.60	0.074981
621.80	0.071650
622.00	0.068387
622.20	0.065422
622.40	0.062525
622.60	0.059641
622.80	0.056973
623.00	0.054238
623.20	0.051680
623.40	0.049297
623.60	0.046711
623.80	0.044409
624.00	0.042188
624.20	0.040225
624.40	0.038221
624.60	0.036150
624.80	0.034471
625.00	0.032725
625.20	0.031032
625.40	0.029543
625.60	0.027918
625.80	0.026578
626.00	0.025251
626.20	0.023951
626.40	0.022773
626.60	0.021568
626.80	0.020634
627.00	0.019632
627.20	0.018589
627.40	0.017682
627.60	0.017019
627.80	0.016166
628.00	0.015408
628.20	0.014636
628.40	0.014027
628.60	0.013485
628.80	0.012632
629.00	0.012307
629.20	0.011657
629.40	0.011102
629.60	0.010655
629.80	0.010290
630.00	0.0098431
630.20	0.0093827
630.40	0.0090713
630.60	0.0087329
630.80	0.0083673
631.00	0.0080288
631.20	0.0078257
631.40	0.0075143
631.60	0.0071623
631.80	0.0069592
632.00	0.0066884
632.20	0.0064989
632.40	0.0062958
632.60	0.0060385
632.80	0.0057271
633.00	0.0055917
633.20	0.0053886
633.40	0.0052397
633.60	0.0051585
633.80	0.0048606
634.00	0.0048335
634.20	0.0046846
634.40	0.0045357
634.60	0.0043461
634.80	0.0043326
635.00	0.0042243
635.20	0.0041295
635.40	0.0038858
635.60	0.0038181
635.80	0.0036962
636.00	0.0034661
636.20	0.0034119
636.40	0.0035067
636.60	0.0033307
636.80	0.0031005
637.00	0.0032359
637.20	0.0029786
637.40	0.0030057
637.60	0.0028703
637.80	0.0028839
638.00	0.0027485
638.20	0.0026808
638.40	0.0029245
638.60	0.0027485
638.80	0.0027079
639.00	0.0026266
639.20	0.0026131
639.40	0.0024235
639.60	0.0022881
639.80	0.0023288
640.00	0.0023017
640.20	0.0022204
640.40	0.0022475
640.60	0.0022204
640.80	0.0020851
641.00	0.0021663
641.20	0.0020715
641.40	0.0019767
641.60	0.0020580
641.80	0.0020580
642.00	0.0019767
642.20	0.0020986
642.40	0.0019497
642.60	0.0020580
642.80	0.0019226
643.00	0.0019226
643.20	0.0017872
643.40	0.0017601
643.60	0.0017872
643.80	0.0019090
644.00	0.0018684
644.20	0.0018007
644.40	0.0018278
644.60	0.0019361
644.80	0.0018143
645.00	0.0017601
645.20	0.0018278
645.40	0.0017872
645.60	0.0018278
645.80	0.0016924
646.00	0.0017060
646.20	0.0017330
646.40	0.0016247
646.60	0.0015976
646.80	0.0016518
647.00	0.0017736
647.20	0.0015570
647.40	0.0018143
647.60	0.0015976
647.80	0.0017060
648.00	0.0017330
648.20	0.0014352
648.40	0.0016518
648.60	0.0016247
648.80	0.0013945
649.00	0.0018007
649.20	0.0015435
649.40	0.0015841
649.60	0.0016112
649.80	0.0015299
650.00	0.0014487
650.20	0.0014893
650.40	0.0014758
650.60	0.0015029
650.80	0.0014622
651.00	0.0014081
651.20	0.0013945
651.40	0.0015706
651.60	0.0014893
651.80	0.0014081
652.00	0.0014622
652.20	0.0015029
652.40	0.0015435
652.60	0.0013810
652.80	0.0014622
653.00	0.0013945
653.20	0.0015570
653.40	0.0013675
653.60	0.0013675
653.80	0.0014081
654.00	0.0013810
654.20	0.0012686
654.40	0.0013675
654.60	0.0013675
654.80	0.0012998
655.00	0.0012321
655.20	0.0012524
655.40	0.0011712
655.60	0.0013810
655.80	0.0014081
656.00	0.0012267
656.20	0.0012524
656.40	0.0013241
656.60	0.0013445
656.80	0.0012889
657.00	0.0011481
657.20	0.0013350
657.40	0.0014352
657.60	0.0013255
657.80	0.0012361
658.00	0.0012646
658.20	0.0013945
658.40	0.0013675
658.60	0.0011860
658.80	0.0011387
659.00	0.0013675
659.20	0.0013336
659.40	0.0012903
659.60	0.0013363
659.80	0.0011684
660.00	0.0011942
660.20	0.0012185
660.40	0.0011251
660.60	0.0011847
660.80	0.0013187
661.00	0.0012497
661.20	0.0011468
661.40	0.0013106
661.60	0.0011170
661.80	0.0011414
662.00	0.0011238
662.20	0.0011129
662.40	0.0011359
662.60	0.0012713
662.80	0.0012889
663.00	0.0013472
663.20	0.0011915
663.40	0.0011265
663.60	0.0011021
663.80	0.0011617
664.00	0.0011508
664.20	0.0011387
664.40	0.0011969
664.60	0.0011766
664.80	0.0011238
665.00	0.0010750
665.20	0.0010859
665.40	0.0010263
665.60	0.0010547
665.80	0.0011495
666.00	0.0011901
666.20	0.0010263
666.40	0.0011211
666.60	0.0010872
666.80	0.0010060
667.00	0.0011197
667.20	0.0011644
667.40	0.0010209
667.60	0.0010940
667.80	0.00094640
668.00	0.0010087
668.20	0.0010439
668.40	0.0010710
668.60	0.00097348
668.80	0.0010033
669.00	0.0011035
669.20	0.0011522
669.40	0.0011766
669.60	0.0011319
669.80	0.00098431
670.00	0.0010723
670.20	0.0010317
670.40	0.0011278
670.60	0.0010534
670.80	0.0010479
671.00	0.00099649
671.20	0.0010547
671.40	0.0011129
671.60	0.0013174
671.80	0.0013675
672.00	0.0010953
672.20	0.00098431
672.40	0.0010804
672.60	0.0012199
672.80	0.0012889
673.00	0.0010953
673.20	0.0012307
673.40	0.0010791
673.60	0.0011373
673.80	0.0011454
674.00	0.0011468
674.20	0.0012145
674.40	0.0011481
674.60	0.0011319
674.80	0.0012226
675.00	0.0010574
675.20	0.0011089
675.40	0.00090578
675.60	0.0010804
675.80	0.0010290
676.00	0.00094911
676.20	0.0012185
676.40	0.0011089
676.60	0.0010195
676.80	0.00092880
677.00	0.0011725
677.20	0.00090036
677.40	0.00091661
677.60	0.00093286
677.80	0.0010398
678.00	0.00098160
678.20	0.0011102
678.40	0.00098972
678.60	0.00091661
678.80	0.00094775
679.00	0.00082996
679.20	0.00086381
679.40	0.0010154
679.60	0.00088682
679.80	0.0011305
680.00	0.00098160
680.20	0.0011048
680.40	0.00090849
680.60	0.00088412
680.80	0.00084079
681.00	0.00081100
681.20	0.00098025
681.40	0.0010534
681.60	0.0010033
681.80	0.00084215
682.00	0.00089901
682.20	0.00098431
682.40	0.0010019
682.60	0.00091661
682.80	0.00090713
683.00	0.00098566
683.20	0.00081371
683.40	0.0011278
683.60	0.00097077
683.80	0.00093557
684.00	0.00072165
684.20	0.00089089
684.40	0.00093692
684.60	0.00095046
684.80	0.00090307
685.00	0.0010547
685.20	0.0010073
685.40	0.0011820
685.60	0.00087735
685.80	0.00091797
686.00	0.00098295
686.20	0.00097077
686.40	0.00088412
686.60	0.0010154
686.80	0.0011116
687.00	0.0010398
687.20	0.0010114
687.40	0.00079340
687.60	0.00090036
687.80	0.00097889
688.00	0.00090172
688.20	0.00088682
688.40	0.00089630
688.60	0.00088682
688.80	0.0010276
689.00	0.00098837
689.20	0.00084079
689.40	0.00094098
689.60	0.00089630
689.80	0.00085704
690.00	0.0010290
690.20	0.00084756
690.40	0.00092203
690.60	0.0010466
690.80	0.00086516
691.00	0.00081642
691.20	0.00091932
691.40	0.00080153
691.60	0.00091120
691.80	0.00083402
692.00	0.00086787
692.20	0.00089224
692.40	0.00087193
692.60	0.0010642
692.80	0.00079747
693.00	0.00087464
693.20	0.0010358
693.40	0.00085839
693.60	0.00099108
693.80	0.0010046
694.00	0.00085433
694.20	0.00088276
694.40	0.00082048
694.60	0.00091661
694.80	0.00098972
695.00	0.00076091
695.20	0.00095994
695.40	0.00090036
695.60	0.00093963
695.80	0.00095317
696.00	0.00075008
696.20	0.00089224
696.40	0.0010154
696.60	0.00082725
696.80	0.00098160
697.00	0.00078257
697.20	0.00091255
697.40	0.00078528
697.60	0.00094775
697.80	0.00083808
698.00	0.00086516
698.20	0.00083402
698.40	0.00093421
698.60	0.00085839
698.80	0.00098837
699.00	0.0010195
699.20	0.00086516
699.40	0.00081507
699.60	0.00069998
699.80	0.00097754
700.00	0.00071894
