Wavelength (nm)	307 ZnC-T5MePy15 (SE369) DMF abs
657.80	0.0019100
658.00	0.0026000
658.20	0.0027800
658.40	0.0027700
658.60	0.0024200
658.80	0.0022500
659.00	0.0022600
659.20	0.0020800
659.40	0.0019100
659.60	0.0020800
659.80	0.0019000
660.00	0.0019100
660.20	0.0015600
660.40	0.0013800
660.60	0.0019000
660.80	0.0024200
661.00	0.0027700
661.20	0.0022500
661.40	0.0017400
661.60	0.00086276
661.80	0.00035192
662.00	0.00069248
662.20	0.0014000
662.40	0.0017400
662.60	0.0019100
662.80	0.0020800
663.00	0.0020800
663.20	0.0019100
663.40	0.0019100
663.60	0.0019100
663.80	0.0015600
664.00	0.0010400
664.20	0.0012100
664.40	0.0015600
664.60	0.0015600
664.80	0.0017400
665.00	0.0019100
665.20	0.0019100
665.40	0.0019100
665.60	0.0017300
665.80	0.0013800
666.00	0.0013800
666.20	0.0012000
666.40	0.0012100
666.60	0.00086276
666.80	0.0010300
667.00	0.0012100
667.20	0.0017300
667.40	0.0015700
667.60	0.0013800
667.80	0.00087412
668.00	0.00069248
668.20	0.00069248
668.40	0.00087412
668.60	0.00070383
668.80	0.00070383
669.00	0.00052220
669.20	0.0015700
669.40	0.0017400
669.60	0.0017400
669.80	0.0017400
670.00	0.0019100
670.20	0.0017400
670.40	0.0015600
670.60	0.0010400
670.80	0.0010300
671.00	0.0012100
671.20	0.0015700
671.40	0.0015700
671.60	0.0010400
671.80	0.0010300
672.00	0.0015700
672.20	0.0015700
672.40	0.0013800
672.60	0.0010400
672.80	0.0012100
673.00	0.0014000
673.20	0.0012100
673.40	0.00052220
673.60	0.00035192
673.80	0.00052220
674.00	0.0010300
674.20	0.0015700
674.40	0.0017400
674.60	0.0013800
674.80	0.00087412
675.00	0.00035192
675.20	0.00035192
675.40	0.00034056
675.60	0.00069248
675.80	0.00087412
676.00	0.00087412
676.20	0.0010400
676.40	0.0010400
676.60	0.0010400
676.80	0.0010400
677.00	0.00086276
677.20	0.00052220
677.40	0.00052220
677.60	0.00069248
677.80	0.00069248
678.00	0.00052220
678.20	0.00035192
678.40	0.00034056
678.60	0.00052220
678.80	0.00070383
679.00	0.00086276
679.20	0.00069248
679.40	0.00052220
679.60	0.00052220
679.80	0.00052220
680.00	0.00035192
680.20	0.00069248
680.40	0.00069248
680.60	0.0010400
680.80	0.0010400
681.00	0.0010400
681.20	0.0010400
681.40	0.0010400
681.60	0.0012100
681.80	0.0010300
682.00	0.00087412
682.20	0.0010400
682.40	0.0013800
682.60	0.0013800
682.80	0.00087412
683.00	0.00052220
683.20	0.0010400
683.40	0.0010400
683.60	0.00070383
683.80	0.00052220
684.00	0.00069248
684.20	0.00052220
684.40	0.00070383
684.60	0.00070383
684.80	0.00034056
685.00	0.00069248
685.20	0.0012100
685.40	0.0015700
685.60	0.0010300
685.80	0.00052220
686.00	0.00052220
686.20	0.00087412
686.40	0.00086276
686.60	0.00069248
686.80	0.00069248
687.00	0.0012100
687.20	0.0012100
687.40	0.0010400
687.60	0.0010400
687.80	0.0010400
688.00	0.0010400
688.20	0.0010400
688.40	0.0010400
688.60	0.00069248
688.80	0.00052220
689.00	0.00052220
689.20	0.00034056
689.40	0.00017028
689.60	0.00017028
689.80	0.00035192
690.00	0.00052220
690.20	0.00069248
690.40	0.00087412
690.60	0.00087412
690.80	0.00070383
691.00	0.00069248
691.20	0.00052220
691.40	0.00069248
691.60	0.00070383
691.80	0.00052220
692.00	0.00017028
692.20	0.00017028
692.40	0.00086276
692.60	0.0013800
692.80	0.0015700
693.00	0.0012100
693.20	0.0010400
693.40	0.00086276
693.60	0.00086276
693.80	0.00035192
694.00	0.00052220
694.20	0.00069248
694.40	0.0010300
694.60	0.00069248
694.80	0.00086276
695.00	0.0013800
695.20	0.0017300
695.40	0.0012100
695.60	0.00035192
695.80	0.00035192
696.00	0.00035192
696.20	0.00070383
696.40	0.0010300
696.60	0.0015600
696.80	0.0017300
697.00	0.0020900
697.20	0.0019100
697.40	0.0015700
697.60	0.0010400
697.80	0.00086276
698.00	0.00069248
698.20	0.00069248
698.40	0.0010400
698.60	0.0012100
698.80	0.0010400
699.00	0.00086276
699.20	0.00052220
699.40	0.00052220
699.60	0.00087412
699.80	0.0010400
700.00	0.0010400
