Wavelength (nm)	L220 ZnC-M10F13 (SE285).abs
659.20	0.0055798
659.40	0.0058277
659.60	0.0059517
659.80	0.0059517
660.00	0.0058277
660.20	0.0052031
660.40	0.0050791
660.60	0.0049552
660.80	0.0054509
661.00	0.0053270
661.20	0.0054509
661.40	0.0050791
661.60	0.0048263
661.80	0.0045784
662.00	0.0045784
662.20	0.0044544
662.40	0.0048263
662.60	0.0050791
662.80	0.0052031
663.00	0.0050791
663.20	0.0045784
663.40	0.0043305
663.60	0.0040776
663.80	0.0044544
664.00	0.0043305
664.20	0.0045784
664.40	0.0042016
664.60	0.0038298
664.80	0.0035819
665.00	0.0035819
665.20	0.0038298
665.40	0.0040776
665.60	0.0039537
665.80	0.0038298
666.00	0.0034530
666.20	0.0032051
666.40	0.0030811
666.60	0.0032051
666.80	0.0032051
667.00	0.0034530
667.20	0.0030811
667.40	0.0030811
667.60	0.0029572
667.80	0.0030811
668.00	0.0030811
668.20	0.0029572
668.40	0.0027044
668.60	0.0028283
668.80	0.0030811
669.00	0.0028283
669.20	0.0029572
669.40	0.0030811
669.60	0.0028283
669.80	0.0027044
670.00	0.0027044
670.20	0.0025804
670.40	0.0023325
670.60	0.0024565
670.80	0.0027044
671.00	0.0027044
671.20	0.0024565
671.40	0.0023325
671.60	0.0020797
671.80	0.0027044
672.00	0.0025804
672.20	0.0020797
672.40	0.0019557
672.60	0.0019557
672.80	0.0020797
673.00	0.0020797
673.20	0.0020797
673.40	0.0020797
673.60	0.0020797
673.80	0.0024565
674.00	0.0024565
674.20	0.0025804
674.40	0.0024565
674.60	0.0023325
674.80	0.0020797
675.00	0.0025804
675.20	0.0028283
675.40	0.0028283
675.60	0.0020797
675.80	0.0022036
676.00	0.0022036
676.20	0.0024565
676.40	0.0022036
676.60	0.0019557
676.80	0.0020797
677.00	0.0019557
677.20	0.0022036
677.40	0.0019557
677.60	0.0019557
677.80	0.0017078
678.00	0.0012071
678.20	0.0010643
678.40	0.0010643
678.60	0.0013311
678.80	0.0018318
679.00	0.0017078
679.20	0.0015839
679.40	0.0015839
679.60	0.0017078
679.80	0.0020797
680.00	0.0027044
680.20	0.0029572
680.40	0.0028283
680.60	0.0020797
680.80	0.0020797
681.00	0.0023325
681.20	0.0020797
681.40	0.0019557
681.60	0.0017078
681.80	0.0022036
682.00	0.0024565
682.20	0.0025804
682.40	0.0023325
682.60	0.0023325
682.80	0.0023325
683.00	0.0023325
683.20	0.0022036
683.40	0.0023325
683.60	0.0025804
683.80	0.0023325
684.00	0.0019557
684.20	0.0022036
684.40	0.0023325
684.60	0.0024565
684.80	0.0022036
685.00	0.0019557
685.20	0.0019557
685.40	0.0022036
685.60	0.0019557
685.80	0.0018318
686.00	0.0020797
686.20	0.0022036
686.40	0.0018318
686.60	0.0015839
686.80	0.0015839
687.00	0.0018318
687.20	0.0019557
687.40	0.0019557
687.60	0.0020797
687.80	0.0023325
688.00	0.0023325
688.20	0.0027044
688.40	0.0027044
688.60	0.0027044
688.80	0.0027044
689.00	0.0024565
689.20	0.0023325
689.40	0.0023325
689.60	0.0024565
689.80	0.0024565
690.00	0.0024565
690.20	0.0023325
690.40	0.0023325
690.60	0.0023325
690.80	0.0024565
691.00	0.0029572
691.20	0.0027044
691.40	0.0023325
691.60	0.0020797
691.80	0.0025804
692.00	0.0030811
692.20	0.0030811
692.40	0.0027044
692.60	0.0020797
692.80	0.0019557
693.00	0.0022036
693.20	0.0020797
693.40	0.0022036
693.60	0.0023325
693.80	0.0023325
694.00	0.0023325
694.20	0.0025804
694.40	0.0025804
694.60	0.0029572
694.80	0.0029572
695.00	0.0029572
695.20	0.0028283
695.40	0.0028283
695.60	0.0028283
695.80	0.0028283
696.00	0.0028283
696.20	0.0029572
696.40	0.0027044
696.60	0.0029572
696.80	0.0029572
697.00	0.0029572
697.20	0.0027044
697.40	0.0029572
697.60	0.0028283
697.80	0.0028283
698.00	0.0024565
698.20	0.0027044
698.40	0.0030811
698.60	0.0032051
698.80	0.0029572
699.00	0.0024565
699.20	0.0025804
699.40	0.0027044
699.60	0.0032051
699.80	0.0033290
700.00	0.0035819
