Wavelength (nm)	L285 FbOP-A3P10 (SE363).abs
609.60	0.036490
609.80	0.037270
610.00	0.038140
610.20	0.038960
610.40	0.039780
610.60	0.040770
610.80	0.041710
611.00	0.042730
611.20	0.043710
611.40	0.044420
611.60	0.045320
611.80	0.046300
612.00	0.047400
612.20	0.048310
612.40	0.049250
612.60	0.050310
612.80	0.051330
613.00	0.052390
613.20	0.053570
613.40	0.054710
613.60	0.055930
613.80	0.056990
614.00	0.058240
614.20	0.059380
614.40	0.060360
614.60	0.061310
614.80	0.062370
615.00	0.063510
615.20	0.064720
615.40	0.065860
615.60	0.066880
615.80	0.067980
616.00	0.069040
616.20	0.070260
616.40	0.071200
616.60	0.072190
616.80	0.072970
617.00	0.073840
617.20	0.074660
617.40	0.075520
617.60	0.076270
617.80	0.077130
618.00	0.078040
618.20	0.079060
618.40	0.079880
618.60	0.080320
618.80	0.080790
619.00	0.081340
619.20	0.081970
619.40	0.082590
619.60	0.083060
619.80	0.083540
620.00	0.083970
620.20	0.084440
620.40	0.084870
620.60	0.085420
620.80	0.085930
621.00	0.086250
621.20	0.086480
621.40	0.086720
621.60	0.087030
621.80	0.087190
622.00	0.087310
622.20	0.087420
622.40	0.087620
622.60	0.087860
622.80	0.088090
623.00	0.088330
623.20	0.088520
623.40	0.088520
623.60	0.088370
623.80	0.088130
624.00	0.088010
624.20	0.088050
624.40	0.087970
624.60	0.087780
624.80	0.087580
625.00	0.087310
625.20	0.087190
625.40	0.087230
625.60	0.086990
625.80	0.086720
626.00	0.086360
626.20	0.085970
626.40	0.085500
626.60	0.085030
626.80	0.084710
627.00	0.084440
627.20	0.084090
627.40	0.083540
627.60	0.082910
627.80	0.082360
628.00	0.081770
628.20	0.081100
628.40	0.080510
628.60	0.080120
628.80	0.079570
629.00	0.079020
629.20	0.078270
629.40	0.077610
629.60	0.076980
629.80	0.076390
630.00	0.075880
630.20	0.075330
630.40	0.074580
630.60	0.073840
630.80	0.072970
631.00	0.072300
631.20	0.071480
631.40	0.070690
631.60	0.070180
631.80	0.069440
632.00	0.068570
632.20	0.067670
632.40	0.067080
632.60	0.066450
632.80	0.065670
633.00	0.064840
633.20	0.064060
633.40	0.063390
633.60	0.062600
633.80	0.061860
634.00	0.061110
634.20	0.060360
634.40	0.059780
634.60	0.059260
634.80	0.058680
635.00	0.057810
635.20	0.057030
635.40	0.056160
635.60	0.055610
635.80	0.055220
636.00	0.054710
636.20	0.053960
636.40	0.053330
636.60	0.052940
636.80	0.052430
637.00	0.051840
637.20	0.051290
637.40	0.050740
637.60	0.050310
637.80	0.049800
638.00	0.049450
638.20	0.049090
638.40	0.048780
638.60	0.048500
638.80	0.048230
639.00	0.047950
639.20	0.047520
639.40	0.047170
639.60	0.046930
639.80	0.046660
640.00	0.046420
640.20	0.046380
640.40	0.046270
640.60	0.046230
640.80	0.045950
641.00	0.045720
641.20	0.045560
641.40	0.045440
641.60	0.045480
641.80	0.045360
642.00	0.045170
642.20	0.045010
642.40	0.044890
642.60	0.044810
642.80	0.044770
643.00	0.044770
643.20	0.044770
643.40	0.044770
643.60	0.044650
643.80	0.044620
644.00	0.044650
644.20	0.044770
644.40	0.044850
644.60	0.044770
644.80	0.044650
645.00	0.044580
645.20	0.044650
645.40	0.044690
645.60	0.044730
645.80	0.044730
646.00	0.044850
646.20	0.045010
646.40	0.045090
646.60	0.045050
646.80	0.044930
647.00	0.044810
647.20	0.044690
647.40	0.044770
647.60	0.044770
647.80	0.044690
648.00	0.044540
648.20	0.044540
648.40	0.044460
648.60	0.044540
648.80	0.044460
649.00	0.044460
649.20	0.044260
649.40	0.044180
649.60	0.044220
649.80	0.044260
650.00	0.044220
650.20	0.044030
650.40	0.043990
650.60	0.043990
650.80	0.043910
651.00	0.043670
651.20	0.043440
651.40	0.043360
651.60	0.043440
651.80	0.043440
652.00	0.043320
652.20	0.043280
652.40	0.043240
652.60	0.043360
652.80	0.043440
653.00	0.043440
653.20	0.043480
653.40	0.043440
653.60	0.043440
653.80	0.043480
654.00	0.043630
654.20	0.043830
654.40	0.043990
654.60	0.044140
654.80	0.044300
655.00	0.044420
655.20	0.044620
655.40	0.044890
655.60	0.045170
655.80	0.045640
656.00	0.045990
656.20	0.046270
656.40	0.046660
656.60	0.047130
656.80	0.047600
657.00	0.047990
657.20	0.048390
657.40	0.048970
657.60	0.049880
657.80	0.050820
658.00	0.051680
658.20	0.052550
658.40	0.053490
658.60	0.054280
658.80	0.055260
659.00	0.056240
659.20	0.057300
659.40	0.058480
659.60	0.059850
659.80	0.061270
660.00	0.062680
660.20	0.064060
660.40	0.065550
660.60	0.066880
660.80	0.068260
661.00	0.069870
661.20	0.071790
661.40	0.073560
661.60	0.075330
661.80	0.077060
662.00	0.078860
662.20	0.080750
662.40	0.082830
662.60	0.084950
662.80	0.087270
663.00	0.089470
663.20	0.091780
663.40	0.093980
663.60	0.096140
663.80	0.098420
664.00	0.10090
664.20	0.10349
664.40	0.10608
664.60	0.10883
664.80	0.11142
665.00	0.11393
665.20	0.11637
665.40	0.11912
665.60	0.12191
665.80	0.12477
666.00	0.12776
666.20	0.13059
666.40	0.13345
666.60	0.13652
666.80	0.13970
667.00	0.14288
667.20	0.14618
667.40	0.14956
667.60	0.15262
667.80	0.15572
668.00	0.15898
668.20	0.16263
668.40	0.16637
668.60	0.16990
668.80	0.17332
669.00	0.17673
669.20	0.18054
669.40	0.18471
669.60	0.18887
669.80	0.19303
670.00	0.19716
670.20	0.20183
670.40	0.20658
670.60	0.21153
670.80	0.21632
671.00	0.22143
671.20	0.22708
671.40	0.23270
671.60	0.23824
671.80	0.24397
672.00	0.25069
672.20	0.25744
672.40	0.26408
672.60	0.27052
672.80	0.27775
673.00	0.28588
673.20	0.29428
673.40	0.30233
673.60	0.31133
673.80	0.32095
674.00	0.33089
674.20	0.34047
674.40	0.35099
674.60	0.36168
674.80	0.37232
675.00	0.38300
675.20	0.39463
675.40	0.40661
675.60	0.41835
675.80	0.43123
676.00	0.44454
676.20	0.45790
676.40	0.47133
676.60	0.48539
676.80	0.49882
677.00	0.51135
677.20	0.52408
677.40	0.53664
677.60	0.54894
677.80	0.56174
678.00	0.57458
678.20	0.58695
678.40	0.59921
678.60	0.61146
678.80	0.62356
679.00	0.63506
679.20	0.64645
679.40	0.65741
679.60	0.66747
679.80	0.67728
680.00	0.68636
680.20	0.69433
680.40	0.70203
680.60	0.70914
680.80	0.71542
681.00	0.72119
681.20	0.72610
681.40	0.72991
681.60	0.73301
681.80	0.73537
682.00	0.73663
682.20	0.73714
682.40	0.73678
682.60	0.73557
682.80	0.73356
683.00	0.73070
683.20	0.72677
683.40	0.72194
683.60	0.71656
683.80	0.71020
684.00	0.70320
684.20	0.69527
684.40	0.68659
684.60	0.67717
684.80	0.66731
685.00	0.65674
685.20	0.64571
685.40	0.63381
685.60	0.62112
685.80	0.60789
686.00	0.59469
686.20	0.58063
686.40	0.56629
686.60	0.55196
686.80	0.53774
687.00	0.52349
687.20	0.50868
687.40	0.49395
687.60	0.47970
687.80	0.46493
688.00	0.44996
688.20	0.43512
688.40	0.42016
688.60	0.40507
688.80	0.39054
689.00	0.37593
689.20	0.36187
689.40	0.34868
689.60	0.33548
689.80	0.32272
690.00	0.31034
690.20	0.29841
690.40	0.28639
690.60	0.27453
690.80	0.26318
691.00	0.25179
691.20	0.24091
691.40	0.23070
691.60	0.22052
691.80	0.21071
692.00	0.20179
692.20	0.19264
692.40	0.18392
692.60	0.17587
692.80	0.16809
693.00	0.16067
693.20	0.15333
693.40	0.14669
693.60	0.13982
693.80	0.13334
694.00	0.12741
694.20	0.12183
694.40	0.11617
694.60	0.11107
694.80	0.10620
695.00	0.10164
695.20	0.097090
695.40	0.092770
695.60	0.088880
695.80	0.084950
696.00	0.081260
696.20	0.077650
696.40	0.074500
696.60	0.071280
696.80	0.068020
697.00	0.065040
697.20	0.062450
697.40	0.059930
697.60	0.057420
697.80	0.055060
698.00	0.052860
698.20	0.050740
698.40	0.048500
698.60	0.046500
698.80	0.044650
699.00	0.043200
699.20	0.041630
699.40	0.040020
699.60	0.038290
699.80	0.036720
700.00	0.035460
700.20	0.034250
700.40	0.033300
700.60	0.032170
700.80	0.031030
701.00	0.029730
701.20	0.028550
701.40	0.027490
701.60	0.026550
701.80	0.025690
702.00	0.024820
702.20	0.023880
702.40	0.022860
702.60	0.021920
702.80	0.021250
703.00	0.020540
703.20	0.019830
703.40	0.019170
703.60	0.018580
703.80	0.017910
704.00	0.017320
704.20	0.016850
704.40	0.016180
704.60	0.015430
704.80	0.014920
705.00	0.014450
705.20	0.014020
705.40	0.013550
705.60	0.013240
705.80	0.012840
706.00	0.012370
706.20	0.011860
706.40	0.011390
706.60	0.010960
706.80	0.010560
707.00	0.010290
707.20	0.010250
707.40	0.010090
707.60	0.0099800
707.80	0.0097000
708.00	0.0093900
708.20	0.0091100
708.40	0.0088000
708.60	0.0083300
708.80	0.0080100
709.00	0.0079300
709.20	0.0078200
709.40	0.0075800
709.60	0.0075400
709.80	0.0073800
710.00	0.0072700
710.20	0.0071500
710.40	0.0070300
710.60	0.0069500
710.80	0.0067200
711.00	0.0065200
711.20	0.0063200
711.40	0.0060500
711.60	0.0059300
711.80	0.0058100
712.00	0.0057300
712.20	0.0058100
712.40	0.0058500
712.60	0.0058100
712.80	0.0055400
713.00	0.0054200
713.20	0.0054600
713.40	0.0053800
713.60	0.0053400
713.80	0.0051400
714.00	0.0049100
714.20	0.0048300
714.40	0.0049100
714.60	0.0049500
714.80	0.0047900
715.00	0.0045600
715.20	0.0044000
715.40	0.0042800
715.60	0.0041200
715.80	0.0041600
716.00	0.0041600
716.20	0.0042400
716.40	0.0040500
716.60	0.0040800
716.80	0.0039700
717.00	0.0038500
717.20	0.0037700
717.40	0.0037700
717.60	0.0038100
717.80	0.0036900
718.00	0.0035300
718.20	0.0036100
718.40	0.0034600
718.60	0.0033800
718.80	0.0031800
719.00	0.0031800
719.20	0.0033000
719.40	0.0031800
719.60	0.0029800
719.80	0.0028300
720.00	0.0027900
720.20	0.0026300
720.40	0.0025500
720.60	0.0027100
720.80	0.0027900
721.00	0.0028300
721.20	0.0027900
721.40	0.0027100
721.60	0.0024700
721.80	0.0023200
722.00	0.0024000
722.20	0.0024700
722.40	0.0025100
722.60	0.0025500
722.80	0.0025900
723.00	0.0024400
723.20	0.0024700
723.40	0.0022400
723.60	0.0019600
723.80	0.0021600
724.00	0.0023600
724.20	0.0024000
724.40	0.0021600
724.60	0.0020400
724.80	0.0019600
725.00	0.0018500
725.20	0.0019200
725.40	0.0018100
725.60	0.0016100
725.80	0.0016100
726.00	0.0016900
726.20	0.0016100
726.40	0.0014100
726.60	0.0013000
726.80	0.0015700
727.00	0.0018100
727.20	0.0019200
727.40	0.0017300
727.60	0.0016100
727.80	0.0015700
728.00	0.0014100
728.20	0.0014100
728.40	0.0015300
728.60	0.0015300
728.80	0.0014100
729.00	0.0013400
729.20	0.0012200
729.40	0.0013400
729.60	0.0014500
729.80	0.0015300
730.00	0.0014500
730.20	0.0014100
730.40	0.0014500
730.60	0.0014900
730.80	0.0013700
731.00	0.0012600
731.20	0.0011800
731.40	0.0012600
731.60	0.0013400
731.80	0.0013000
732.00	0.0012200
732.20	0.0011800
732.40	0.0014900
732.60	0.0014900
732.80	0.0013700
733.00	0.0011400
733.20	0.0010200
733.40	0.00094258
733.60	0.00090331
733.80	0.00094258
734.00	0.0010600
734.20	0.0010600
734.40	0.00090331
734.60	0.00082476
734.80	0.00090331
735.00	0.00098185
735.20	0.0011000
735.40	0.0010600
735.60	0.00094258
735.80	0.00078548
736.00	0.00062839
736.20	0.00074621
736.40	0.00078548
736.60	0.00086403
736.80	0.00078548
737.00	0.00086403
737.20	0.00074621
737.40	0.00058911
737.60	0.00047129
737.80	0.00058911
738.00	0.00082476
738.20	0.00094258
738.40	0.00094258
738.60	0.00086403
738.80	0.00070694
739.00	0.00058911
739.20	0.00062839
739.40	0.00074621
739.60	0.00086403
739.80	0.00094258
740.00	0.00082476
740.20	0.00078548
740.40	0.00066766
740.60	0.00066766
740.80	0.00054984
741.00	0.00051057
741.20	0.00043202
741.40	0.00051057
741.60	0.00035347
741.80	0.00039274
742.00	0.00043202
742.20	0.00054984
742.40	0.00054984
742.60	0.00043202
742.80	0.00031419
743.00	0.00031419
743.20	0.00054984
743.40	0.00062839
743.60	0.00054984
743.80	0.00031419
744.00	0.00013927
744.20	0.00037580
744.40	0.00027492
744.60	0.00047129
744.80	0.00062839
745.00	0.00054984
745.20	0.00054984
745.40	0.00039274
745.60	0.00023564
745.80	0.00023564
746.00	0.00047129
746.20	0.00047129
746.40	0.00054984
746.60	0.00039274
746.80	0.00015710
747.00	0.00011782
747.20	0.00015710
747.40	0.00019637
747.60	0.00011782
747.80	0.00011782
748.00	0.00043202
748.20	0.00062839
748.40	0.00062839
748.60	0.00039274
748.80	0.00054984
749.00	0.00054984
749.20	0.00058911
749.40	0.00058911
749.60	0.00058911
749.80	0.00047129
750.00	0.00035347
