Wavelength (nm)	L214 H2C-M10E15 (SE254).abs
656.60	0.23752
656.80	0.23217
657.00	0.22711
657.20	0.22057
657.40	0.21458
657.60	0.20816
657.80	0.20175
658.00	0.19439
658.20	0.18813
658.40	0.18100
658.60	0.17348
658.80	0.16695
659.00	0.15984
659.20	0.15301
659.40	0.14596
659.60	0.13976
659.80	0.13330
660.00	0.12632
660.20	0.12030
660.40	0.11452
660.60	0.10844
660.80	0.10248
661.00	0.098351
661.20	0.092443
661.40	0.087565
661.60	0.083167
661.80	0.078079
662.00	0.073751
662.20	0.069872
662.40	0.066443
662.60	0.062095
662.80	0.058457
663.00	0.055828
663.20	0.052349
663.40	0.049380
663.60	0.046881
663.80	0.044642
664.00	0.041343
664.20	0.039604
664.40	0.037735
664.60	0.035286
664.80	0.033507
665.00	0.031947
665.20	0.030398
665.40	0.028219
665.60	0.027839
665.80	0.026659
666.00	0.024870
666.20	0.023671
666.40	0.022591
666.60	0.022211
666.80	0.020502
667.00	0.019632
667.20	0.019122
667.40	0.017463
667.60	0.017703
667.80	0.016873
668.00	0.015874
668.20	0.015454
668.40	0.015234
668.60	0.014014
668.80	0.013085
669.00	0.013075
669.20	0.013085
669.40	0.011745
669.60	0.011955
669.80	0.011375
670.00	0.010886
670.20	0.010326
670.40	0.010326
670.60	0.0099860
670.80	0.0090864
671.00	0.0094262
671.20	0.0086066
671.40	0.0081068
671.60	0.0080468
671.80	0.0076170
672.00	0.0072171
672.20	0.0073171
672.40	0.0071271
672.60	0.0061675
672.80	0.0058577
673.00	0.0062075
673.20	0.0062775
673.40	0.0051180
673.60	0.0056977
673.80	0.0050980
674.00	0.0049280
674.20	0.0047481
674.40	0.0044782
674.60	0.0045782
674.80	0.0042983
675.00	0.0047181
675.20	0.0040784
675.40	0.0031587
675.60	0.0037885
675.80	0.0034686
676.00	0.0038085
676.20	0.0035986
676.40	0.0035286
676.60	0.0031088
676.80	0.0028089
677.00	0.0030688
677.20	0.0030888
677.40	0.0030388
677.60	0.0026889
677.80	0.0027589
678.00	0.0027489
678.20	0.0021291
678.40	0.0027189
678.60	0.0024790
678.80	0.0022991
679.00	0.0023491
679.20	0.0018393
679.40	0.0013453
679.60	0.0019792
679.80	0.0017393
680.00	0.0014794
680.20	0.0015394
680.40	0.0021891
680.60	0.0020292
680.80	0.0020692
681.00	0.0021092
681.20	0.0023691
681.40	0.0018093
681.60	0.0019492
681.80	0.0016094
682.00	0.0014094
682.20	0.0014294
682.40	0.0016693
682.60	0.0016893
682.80	0.0017493
683.00	0.0016393
683.20	0.0015394
683.40	0.00083419
683.60	0.0017993
683.80	0.0014294
684.00	0.0016194
684.20	0.0010842
684.40	0.0019392
684.60	0.0011718
684.80	0.0012738
685.00	0.0016094
685.20	0.0019892
685.40	0.0014494
685.60	0.0012740
685.80	0.0018093
686.00	0.00099768
686.20	0.0015794
686.40	0.0019292
686.60	0.0012488
686.80	0.0013981
687.00	0.0017393
687.20	0.0014594
687.40	0.00099656
687.60	0.0012508
687.80	0.0013742
688.00	0.00098220
688.20	0.0012274
688.40	0.0014294
688.60	0.0014894
688.80	0.00063234
689.00	0.0014494
689.20	0.0017693
689.40	0.00071879
689.60	0.0014494
689.80	0.0018293
690.00	0.00068907
690.20	0.00082280
690.40	0.0014594
690.60	0.0013055
690.80	0.0011134
691.00	0.0012424
691.20	0.0015794
691.40	0.00067575
691.60	0.0012448
691.80	0.0016493
692.00	0.00066994
692.20	0.0013123
692.40	0.0012697
692.60	0.0010562
692.80	0.0013222
693.00	0.0010896
693.20	0.0014394
693.40	0.0010280
693.60	0.0012637
693.80	0.0019092
694.00	0.0010325
694.20	0.00076273
694.40	0.0010852
694.60	0.0013917
694.80	0.00051617
695.00	0.0013354
695.20	0.0015594
695.40	0.00043274
695.60	0.0013055
695.80	0.0012954
696.00	0.0011720
696.20	0.0011693
696.40	0.0013204
696.60	0.0013168
696.80	0.00082561
697.00	0.0012814
697.20	0.0011968
697.40	0.0011192
697.60	0.0012060
697.80	0.0015694
698.00	0.00054102
698.20	0.00038278
698.40	0.0014594
698.60	0.00084413
698.80	0.00046864
699.00	0.0012183
699.20	0.00090810
699.40	0.0011973
699.60	0.0011193
699.80	0.0011210
700.00	0.00091846
